type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b48', 'delay': 21, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:23:00.000', 'actualTime': '2023-08-02t08:43:00.000', 'estimatedRunway': '2023-08-02t08:43:00.000', 'actualRunway': '2023-08-02t08:43:00.000'}","{'iataCode': 'yyz', 'icaoCode': 'cyyz', 'terminal': '3', 'baggage': '5', 'gate': 'b12', 'scheduledTime': '2023-08-02t10:25:00.000', 'estimatedTime': '2023-08-02t09:47:00.000'}","{'name': 'virgin atlantic', 'iataCode': 'vs', 'icaoCode': 'vir'}","{'number': '4707', 'iataNumber': 'vs4707', 'icaoNumber': 'vir4707'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '5171', 'iataNumber': 'dl5171', 'icaoNumber': 'dal5171'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b48', 'delay': 21, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:23:00.000', 'actualTime': '2023-08-02t08:43:00.000', 'estimatedRunway': '2023-08-02t08:43:00.000', 'actualRunway': '2023-08-02t08:43:00.000'}","{'iataCode': 'yyz', 'icaoCode': 'cyyz', 'terminal': '3', 'baggage': '5', 'gate': 'b12', 'scheduledTime': '2023-08-02t10:25:00.000', 'estimatedTime': '2023-08-02t09:47:00.000'}","{'name': 'westjet', 'iataCode': 'ws', 'icaoCode': 'wja'}","{'number': '6314', 'iataNumber': 'ws6314', 'icaoNumber': 'wja6314'}","{'airline': {'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}, 'flight': {'number': '5171', 'iataNumber': 'dl5171', 'icaoNumber': 'dal5171'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '4', 'gate': 'b48', 'delay': 21, 'scheduledTime': '2023-08-02t08:23:00.000', 'estimatedTime': '2023-08-02t08:23:00.000', 'actualTime': '2023-08-02t08:43:00.000', 'estimatedRunway': '2023-08-02t08:43:00.000', 'actualRunway': '2023-08-02t08:43:00.000'}","{'iataCode': 'yyz', 'icaoCode': 'cyyz', 'terminal': '3', 'baggage': '5', 'gate': 'b12', 'scheduledTime': '2023-08-02t10:25:00.000', 'estimatedTime': '2023-08-02t09:47:00.000'}","{'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}","{'number': '5171', 'iataNumber': 'dl5171', 'icaoNumber': 'dal5171'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '39', 'delay': 27, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:22:00.000', 'actualTime': '2023-08-02t08:55:00.000', 'estimatedRunway': '2023-08-02t08:55:00.000', 'actualRunway': '2023-08-02t08:55:00.000'}","{'iataCode': 'mbj', 'icaoCode': 'mkjs', 'gate': '8', 'scheduledTime': '2023-08-02t11:52:00.000', 'estimatedTime': '2023-08-02t11:19:00.000'}","{'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}","{'number': '4429', 'iataNumber': 'b64429', 'icaoNumber': 'jbu4429'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '1349', 'iataNumber': 'aa1349', 'icaoNumber': 'aal1349'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '39', 'delay': 27, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:22:00.000', 'actualTime': '2023-08-02t08:55:00.000', 'estimatedRunway': '2023-08-02t08:55:00.000', 'actualRunway': '2023-08-02t08:55:00.000'}","{'iataCode': 'mbj', 'icaoCode': 'mkjs', 'gate': '8', 'scheduledTime': '2023-08-02t11:52:00.000', 'estimatedTime': '2023-08-02t11:19:00.000'}","{'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}","{'number': '1349', 'iataNumber': 'aa1349', 'icaoNumber': 'aal1349'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '32', 'delay': 28, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:27:00.000', 'actualTime': '2023-08-02t08:57:00.000', 'estimatedRunway': '2023-08-02t08:57:00.000', 'actualRunway': '2023-08-02t08:57:00.000'}","{'iataCode': 'ord', 'icaoCode': 'kord', 'terminal': '3', 'gate': 'h16', 'scheduledTime': '2023-08-02t10:29:00.000', 'estimatedTime': '2023-08-02t09:49:00.000'}","{'name': 'alaska airlines', 'iataCode': 'as', 'icaoCode': 'asa'}","{'number': '4501', 'iataNumber': 'as4501', 'icaoNumber': 'asa4501'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '2819', 'iataNumber': 'aa2819', 'icaoNumber': 'aal2819'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '32', 'delay': 28, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:27:00.000', 'actualTime': '2023-08-02t08:57:00.000', 'estimatedRunway': '2023-08-02t08:57:00.000', 'actualRunway': '2023-08-02t08:57:00.000'}","{'iataCode': 'ord', 'icaoCode': 'kord', 'terminal': '3', 'gate': 'h16', 'scheduledTime': '2023-08-02t10:29:00.000', 'estimatedTime': '2023-08-02t09:49:00.000'}","{'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}","{'number': '4126', 'iataNumber': 'b64126', 'icaoNumber': 'jbu4126'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '2819', 'iataNumber': 'aa2819', 'icaoNumber': 'aal2819'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '32', 'delay': 28, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:27:00.000', 'actualTime': '2023-08-02t08:57:00.000', 'estimatedRunway': '2023-08-02t08:57:00.000', 'actualRunway': '2023-08-02t08:57:00.000'}","{'iataCode': 'ord', 'icaoCode': 'kord', 'terminal': '3', 'gate': 'h16', 'scheduledTime': '2023-08-02t10:29:00.000', 'estimatedTime': '2023-08-02t09:49:00.000'}","{'name': 'british airways', 'iataCode': 'ba', 'icaoCode': 'baw'}","{'number': '4699', 'iataNumber': 'ba4699', 'icaoNumber': 'baw4699'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '2819', 'iataNumber': 'aa2819', 'icaoNumber': 'aal2819'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '32', 'delay': 28, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:27:00.000', 'actualTime': '2023-08-02t08:57:00.000', 'estimatedRunway': '2023-08-02t08:57:00.000', 'actualRunway': '2023-08-02t08:57:00.000'}","{'iataCode': 'ord', 'icaoCode': 'kord', 'terminal': '3', 'gate': 'h16', 'scheduledTime': '2023-08-02t10:29:00.000', 'estimatedTime': '2023-08-02t09:49:00.000'}","{'name': 'gol', 'iataCode': 'g3', 'icaoCode': 'glo'}","{'number': '6040', 'iataNumber': 'g36040', 'icaoNumber': 'glo6040'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '2819', 'iataNumber': 'aa2819', 'icaoNumber': 'aal2819'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '8', 'gate': '32', 'delay': 28, 'scheduledTime': '2023-08-02t08:29:00.000', 'estimatedTime': '2023-08-02t09:27:00.000', 'actualTime': '2023-08-02t08:57:00.000', 'estimatedRunway': '2023-08-02t08:57:00.000', 'actualRunway': '2023-08-02t08:57:00.000'}","{'iataCode': 'ord', 'icaoCode': 'kord', 'terminal': '3', 'gate': 'h16', 'scheduledTime': '2023-08-02t10:29:00.000', 'estimatedTime': '2023-08-02t09:49:00.000'}","{'name': 'gulf air', 'iataCode': 'gf', 'icaoCode': 'gfa'}","{'number': '4350', 'iataNumber': 'gf4350', 'icaoNumber': 'gfa4350'}","{'airline': {'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}, 'flight': {'number': '2819', 'iataNumber': 'aa2819', 'icaoNumber': 'aal2819'}}"
