type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 33, 'scheduledTime': '2023-05-13t18:30:00.000', 'estimatedTime': '2023-05-13t18:45:00.000', 'actualTime': '2023-05-13t19:03:00.000', 'estimatedRunway': '2023-05-13t19:03:00.000', 'actualRunway': '2023-05-13t19:03:00.000'}","{'iataCode': 'ctu', 'icaoCode': 'zuuu', 'terminal': 't2', 'delay': 3, 'scheduledTime': '2023-05-13t21:30:00.000', 'estimatedTime': '2023-05-13t21:32:00.000'}","{'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}","{'number': '7532', 'iataNumber': 'ua7532', 'icaoNumber': 'ual7532'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '4104', 'iataNumber': 'ca4104', 'icaoNumber': 'cca4104'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 33, 'scheduledTime': '2023-05-13t18:30:00.000', 'estimatedTime': '2023-05-13t18:45:00.000', 'actualTime': '2023-05-13t19:03:00.000', 'estimatedRunway': '2023-05-13t19:03:00.000', 'actualRunway': '2023-05-13t19:03:00.000'}","{'iataCode': 'ctu', 'icaoCode': 'zuuu', 'terminal': 't2', 'delay': 3, 'scheduledTime': '2023-05-13t21:30:00.000', 'estimatedTime': '2023-05-13t21:32:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '4338', 'iataNumber': 'zh4338', 'icaoNumber': 'csz4338'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '4104', 'iataNumber': 'ca4104', 'icaoNumber': 'cca4104'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 33, 'scheduledTime': '2023-05-13t18:30:00.000', 'estimatedTime': '2023-05-13t18:45:00.000', 'actualTime': '2023-05-13t19:03:00.000', 'estimatedRunway': '2023-05-13t19:03:00.000', 'actualRunway': '2023-05-13t19:03:00.000'}","{'iataCode': 'ctu', 'icaoCode': 'zuuu', 'terminal': 't2', 'delay': 3, 'scheduledTime': '2023-05-13t21:30:00.000', 'estimatedTime': '2023-05-13t21:32:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '4104', 'iataNumber': 'ca4104', 'icaoNumber': 'cca4104'}",
departure,cancelled,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '2', 'scheduledTime': '2023-05-13t18:30:00.000'}","{'iataCode': 'sha', 'icaoCode': 'zsss', 'terminal': '2', 'scheduledTime': '2023-05-13t21:00:00.000'}","{'name': 'china eastern airlines', 'iataCode': 'mu', 'icaoCode': 'ces'}","{'number': '5162', 'iataNumber': 'mu5162', 'icaoNumber': 'ces5162'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '2', 'gate': 'b11', 'delay': 25, 'scheduledTime': '2023-05-13t18:30:00.000', 'estimatedTime': '2023-05-13t18:55:00.000', 'actualTime': '2023-05-13t18:54:00.000', 'estimatedRunway': '2023-05-13t18:54:00.000', 'actualRunway': '2023-05-13t18:54:00.000'}","{'iataCode': 'icn', 'icaoCode': 'rksi', 'terminal': '2', 'baggage': '3', 'gate': '234', 'scheduledTime': '2023-05-13t21:40:00.000', 'estimatedTime': '2023-05-13t21:22:00.000'}","{'name': 'china southern airlines', 'iataCode': 'cz', 'icaoCode': 'csn'}","{'number': '7853', 'iataNumber': 'cz7853', 'icaoNumber': 'csn7853'}","{'airline': {'name': 'korean air', 'iataCode': 'ke', 'icaoCode': 'kal'}, 'flight': {'number': '860', 'iataNumber': 'ke860', 'icaoNumber': 'kal860'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '2', 'gate': 'b11', 'delay': 25, 'scheduledTime': '2023-05-13t18:30:00.000', 'estimatedTime': '2023-05-13t18:55:00.000', 'actualTime': '2023-05-13t18:54:00.000', 'estimatedRunway': '2023-05-13t18:54:00.000', 'actualRunway': '2023-05-13t18:54:00.000'}","{'iataCode': 'icn', 'icaoCode': 'rksi', 'terminal': '2', 'baggage': '3', 'gate': '234', 'scheduledTime': '2023-05-13t21:40:00.000', 'estimatedTime': '2023-05-13t21:22:00.000'}","{'name': 'korean air', 'iataCode': 'ke', 'icaoCode': 'kal'}","{'number': '860', 'iataNumber': 'ke860', 'icaoNumber': 'kal860'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'h01', 'delay': 12, 'scheduledTime': '2023-05-13t18:35:00.000', 'estimatedTime': '2023-05-13t18:43:00.000', 'actualTime': '2023-05-13t18:47:00.000', 'estimatedRunway': '2023-05-13t18:47:00.000', 'actualRunway': '2023-05-13t18:47:00.000'}","{'iataCode': 'cih', 'icaoCode': 'zbcz', 'scheduledTime': '2023-05-13t19:55:00.000', 'estimatedTime': '2023-05-13t19:52:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1119', 'iataNumber': 'zh1119', 'icaoNumber': 'csz1119'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1119', 'iataNumber': 'ca1119', 'icaoNumber': 'cca1119'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'gate': 'h01', 'delay': 12, 'scheduledTime': '2023-05-13t18:35:00.000', 'estimatedTime': '2023-05-13t18:43:00.000', 'actualTime': '2023-05-13t18:47:00.000', 'estimatedRunway': '2023-05-13t18:47:00.000', 'actualRunway': '2023-05-13t18:47:00.000'}","{'iataCode': 'cih', 'icaoCode': 'zbcz', 'scheduledTime': '2023-05-13t19:55:00.000', 'estimatedTime': '2023-05-13t19:52:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1119', 'iataNumber': 'ca1119', 'icaoNumber': 'cca1119'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '2', 'gate': 'h15', 'delay': 10, 'scheduledTime': '2023-05-13t18:40:00.000', 'estimatedTime': '2023-05-13t18:31:00.000', 'actualTime': '2023-05-13t18:49:00.000', 'estimatedRunway': '2023-05-13t18:49:00.000', 'actualRunway': '2023-05-13t18:49:00.000'}","{'iataCode': 'tfu', 'icaoCode': 'zutf', 'terminal': 't2', 'scheduledTime': '2023-05-13t21:55:00.000', 'estimatedTime': '2023-05-13t21:17:00.000'}","{'name': 'china southern airlines', 'iataCode': 'cz', 'icaoCode': 'csn'}","{'number': '9372', 'iataNumber': 'cz9372', 'icaoNumber': 'csn9372'}","{'airline': {'name': 'sichuan airlines', 'iataCode': '3u', 'icaoCode': 'csc'}, 'flight': {'number': '6872', 'iataNumber': '3u6872', 'icaoNumber': 'csc6872'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '2', 'gate': 'h15', 'delay': 10, 'scheduledTime': '2023-05-13t18:40:00.000', 'estimatedTime': '2023-05-13t18:31:00.000', 'actualTime': '2023-05-13t18:49:00.000', 'estimatedRunway': '2023-05-13t18:49:00.000', 'actualRunway': '2023-05-13t18:49:00.000'}","{'iataCode': 'tfu', 'icaoCode': 'zutf', 'terminal': 't2', 'scheduledTime': '2023-05-13t21:55:00.000', 'estimatedTime': '2023-05-13t21:17:00.000'}","{'name': 'xiamen airlines', 'iataCode': 'mf', 'icaoCode': 'cxa'}","{'number': '5371', 'iataNumber': 'mf5371', 'icaoNumber': 'cxa5371'}","{'airline': {'name': 'sichuan airlines', 'iataCode': '3u', 'icaoCode': 'csc'}, 'flight': {'number': '6872', 'iataNumber': '3u6872', 'icaoNumber': 'csc6872'}}"
