departure,arrival
'airport': 'Ahmedabad,'airport': 'Tan Son Nhat International
'airport': 'Ahmedabad,'airport': 'Tan Son Nhat International
'airport': 'Wellington International,'airport': 'Melbourne - Tullamarine Airport
'airport': 'Darwin,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Darwin,'airport': 'Sydney Kingsford Smith Airport
'airport': 'Kalibo,'airport': 'Seoul (Incheon)
'airport': 'Soekarno-Hatta International,'airport': 'Ninoy Aquino International
'airport': 'Hong Kong International,'airport': 'Seoul (Incheon)
'airport': 'Noibai International,'airport': 'Kansai International
'airport': 'Haneda Airport,'airport': 'Seoul (Incheon)
'airport': 'Thiruvananthapuram International,'airport': 'Lohegaon
'airport': 'Suvarnabhumi International,'airport': 'Kansai International
'airport': 'Suvarnabhumi International,'airport': 'Kansai International
'airport': Non,'airport': 'Beijing Daxing International Airport
'airport': 'Brisbane International,'airport': 'Mackay
'airport': 'Oenpelli,'airport': 'Maningrida
'airport': 'Zhengzhou,'airport': 'Changchun
'airport': 'Karratha,'airport': 'Geraldton
'airport': 'Chitose,'airport': 'Narita International Airport
'airport': 'Shuangliu,'airport': 'Jinan
'airport': 'Shuangliu,'airport': 'Jinan
'airport': 'Shuangliu,'airport': 'Jinan
'airport': 'Shuangliu,'airport': 'Jinan
'airport': 'El Prat De Llobregat,'airport': 'Zurich
'airport': 'Skelleftea,'airport': 'Gran Canaria
'airport': 'Cairns,'airport': 'Brisbane International
'airport': 'Fukuoka,'airport': 'Komatsu
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Gold Coast (coolangatta)
'airport': 'Sydney Kingsford Smith Airport,'airport': 'Gold Coast (coolangatta)
'airport': 'Shenyang,'airport': 'Xiamen
'airport': 'Yichun Mingyueshan Airport,'airport': 'Chongqing Jiangbei International
'airport': 'Abu Dhabi International,'airport': 'Tribhuvan International
'airport': 'Dubai,'airport': 'Düsseldorf International Airport
'airport': 'Dubai,'airport': 'St-Exupéry
'airport': 'Dubai,'airport': 'Arlanda
'airport': 'Dubai,"'airport': ""Cote D'azur International Airport"
'airport': 'Dubai,'airport': 'Tribhuvan International
'airport': 'Dubai,'airport': 'Cairo International Airport
'airport': 'Dubai,'airport': 'Cairo International Airport
'airport': 'Dubai,'airport': 'Cairo International Airport
'airport': 'Dubai,'airport': 'Rinas Mother Teresa
'airport': 'Francisco Bangoy International,'airport': 'Sayak Airport
'airport': 'Xianyang,'airport': 'Guilin
'airport': 'Beijing Capital International,'airport': 'Guiyang
'airport': 'Beijing Capital International,'airport': 'Guiyang
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Wellington International
'airport': 'Soekarno-Hatta International,'airport': 'Samratulangi
